disability_type,skills_one,skills_two,company,city,province,job_type,position,is_hearing_impairment,is_visual_impairment,is_physical_disability,is_all_types_of_disabilities,is_neurodiversity,is_mobility_impairment,is_speech_impairment,is_cognitive_disability,is_learning_disability
Cognitive Disability,Attention to detail,Python,ByteTech,Jakarta,Jakarta Raya,Part-time,UX Designer,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,Innovation Hub,Jakarta,Jakarta Raya,Full-time,UX Designer,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,WebWorks,Medan,Sumatera Utara,Full-time,UX Designer,0,0,0,0,0,0,0,0,1
Learning Disability,Critical thinking,Ruby on Rails,WebCraft,Bandung,Jawa Barat,Contract,UX Designer,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,ByteBytes,Semarang,Jawa Tengah,Full-time,UX Designer,0,0,0,0,0,0,0,1,0
Physical Disability,Leadership,Java,Tech Solutions,Surabaya,Jawa Timur,Part-time,UX Designer,0,0,1,0,0,0,0,0,0
Cognitive Disability,C++,Analytical skills,ByteBytes,Semarang,Jawa Tengah,Contract,IT Support Specialist,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,ABC Corporation,Jakarta,Jakarta Raya,Full-time,IT Support Specialist,0,1,0,0,0,0,0,0,0
Hearing Impairment,Teamwork,Python,XYZ Solutions,Bandung,Jawa Barat,Contract,IT Support Specialist,1,0,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,Global Ventures,Medan,Sumatera Utara,Full-time,IT Support Specialist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,Innovate Systems,Semarang,Jawa Tengah,Contract,IT Support Specialist,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,PHP,Data Solutions,Bali,Bali,Part-time,IT Support Specialist,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,CyberTech,Surabaya,Jawa Timur,Full-time,IT Support Specialist,0,0,1,0,0,0,0,0,0
Learning Disability,Critical thinking,Ruby on Rails,CodeCraft,Bandung,Jawa Barat,Contract,IT Support Specialist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,TechGenius,Jakarta,Jakarta Raya,Part-time,IT Support Specialist,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Office,Innovation Hub,Jakarta,Jakarta Raya,Full-time,IT Support Specialist,0,1,0,0,0,0,0,0,0
Physical Disability,Leadership,JavaScript,InfoTech,Surabaya,Jawa Timur,Part-time,IT Support Specialist,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,Design Co.,Medan,Sumatera Utara,Full-time,IT Support Specialist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,Python,DataTech,Semarang,Jawa Tengah,Contract,IT Support Specialist,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,Java,AppSolutions,Bali,Bali,Part-time,IT Support Specialist,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,TechWizards,Surabaya,Jawa Timur,Full-time,IT Support Specialist,0,0,1,0,0,0,0,0,0
Learning Disability,Critical thinking,PHP,Coding Solutions,Bandung,Jawa Barat,Contract,IT Support Specialist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,InfoLab,Jakarta,Jakarta Raya,Part-time,IT Support Specialist,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,TechHub,Jakarta,Jakarta Raya,Full-time,IT Support Specialist,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,Innovative Solutions,Medan,Sumatera Utara,Full-time,IT Support Specialist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,DataGenius,Semarang,Jawa Tengah,Contract,IT Support Specialist,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,PHP,InfoSolutions,Bali,Bali,Part-time,IT Support Specialist,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,TechGenie,Surabaya,Jawa Timur,Full-time,IT Support Specialist,0,0,1,0,0,0,0,0,0
Learning Disability,Critical thinking,Ruby on Rails,WebWorks,Bandung,Jawa Barat,Contract,IT Support Specialist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,TechConnect,Jakarta,Jakarta Raya,Part-time,IT Support Specialist,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Office,Innovative Solutions,Jakarta,Jakarta Raya,Full-time,IT Support Specialist,0,1,0,0,0,0,0,0,0
Physical Disability,Leadership,JavaScript,ByteTech,Surabaya,Jawa Timur,Part-time,IT Support Specialist,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,DesignSolutions,Medan,Sumatera Utara,Full-time,IT Support Specialist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,Python,TechLab,Semarang,Jawa Tengah,Contract,IT Support Specialist,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,Java,TechSolutions,Bali,Bali,Part-time,IT Support Specialist,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,DataBytes,Surabaya,Jawa Timur,Full-time,IT Support Specialist,0,0,1,0,0,0,0,0,0
Learning Disability,Critical thinking,PHP,CodingTech,Bandung,Jawa Barat,Contract,IT Support Specialist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,InfoTech,Jakarta,Jakarta Raya,Part-time,IT Support Specialist,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,TechCo,Jakarta,Jakarta Raya,Full-time,IT Support Specialist,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,WebTech,Medan,Sumatera Utara,Full-time,IT Support Specialist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,ByteBytes,Semarang,Jawa Tengah,Contract,IT Support Specialist,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,PHP,CodeGenius,Bali,Bali,Part-time,IT Support Specialist,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,TechSolutions,Surabaya,Jawa Timur,Full-time,IT Support Specialist,0,0,1,0,0,0,0,0,0
Learning Disability,Critical thinking,Ruby on Rails,InfoLab,Bandung,Jawa Barat,Contract,IT Support Specialist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,ByteTech,Jakarta,Jakarta Raya,Part-time,IT Support Specialist,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,Innovation Hub,Jakarta,Jakarta Raya,Full-time,IT Support Specialist,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,WebWorks,Medan,Sumatera Utara,Full-time,IT Support Specialist,0,0,0,0,0,0,0,0,1
Learning Disability,Critical thinking,Ruby on Rails,WebCraft,Bandung,Jawa Barat,Contract,IT Support Specialist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,ByteBytes,Semarang,Jawa Tengah,Full-time,IT Support Specialist,0,0,0,0,0,0,0,1,0
Cognitive Disability,C++,Analytical skills,ByteBytes,Semarang,Jawa Tengah,Contract,Data Analyst,0,0,0,0,0,0,0,1,0
Hearing Impairment,Teamwork,Python,XYZ Solutions,Bandung,Jawa Barat,Contract,Data Analyst,1,0,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,Global Ventures,Medan,Sumatera Utara,Full-time,Data Analyst,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,Innovate Systems,Semarang,Jawa Tengah,Contract,Data Analyst,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,PHP,Data Solutions,Bali,Bali,Part-time,Data Analyst,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,CyberTech,Surabaya,Jawa Timur,Full-time,Data Analyst,0,0,1,0,0,0,0,0,0
Learning Disability,Critical thinking,Ruby on Rails,CodeCraft,Bandung,Jawa Barat,Contract,Data Analyst,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,TechGenius,Jakarta,Jakarta Raya,Part-time,Data Analyst,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Office,Innovation Hub,Jakarta,Jakarta Raya,Full-time,Data Analyst,0,1,0,0,0,0,0,0,0
Physical Disability,Leadership,JavaScript,InfoTech,Surabaya,Jawa Timur,Part-time,Data Analyst,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,Design Co.,Medan,Sumatera Utara,Full-time,Data Analyst,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,Python,DataTech,Semarang,Jawa Tengah,Contract,Data Analyst,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,Java,AppSolutions,Bali,Bali,Part-time,Data Analyst,1,0,0,0,0,0,0,0,0
Learning Disability,Critical thinking,PHP,Coding Solutions,Bandung,Jawa Barat,Contract,Data Analyst,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,InfoLab,Jakarta,Jakarta Raya,Part-time,Data Analyst,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,TechHub,Jakarta,Jakarta Raya,Full-time,Data Analyst,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,Innovative Solutions,Medan,Sumatera Utara,Full-time,Data Analyst,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,DataGenius,Semarang,Jawa Tengah,Contract,Data Analyst,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,PHP,InfoSolutions,Bali,Bali,Part-time,Data Analyst,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,TechGenie,Surabaya,Jawa Timur,Full-time,Data Analyst,0,0,1,0,0,0,0,0,0
Learning Disability,Critical thinking,Ruby on Rails,WebWorks,Bandung,Jawa Barat,Contract,Data Analyst,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,TechConnect,Jakarta,Jakarta Raya,Part-time,Data Analyst,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Office,Innovative Solutions,Jakarta,Jakarta Raya,Full-time,Data Analyst,0,1,0,0,0,0,0,0,0
Physical Disability,Leadership,JavaScript,ByteTech,Surabaya,Jawa Timur,Part-time,Data Analyst,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,DesignSolutions,Medan,Sumatera Utara,Full-time,Data Analyst,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,Python,TechLab,Semarang,Jawa Tengah,Contract,Data Analyst,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,Java,TechSolutions,Bali,Bali,Part-time,Data Analyst,1,0,0,0,0,0,0,0,0
Learning Disability,Critical thinking,PHP,CodingTech,Bandung,Jawa Barat,Contract,Data Analyst,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,InfoTech,Jakarta,Jakarta Raya,Part-time,Data Analyst,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,TechCo,Jakarta,Jakarta Raya,Full-time,Data Analyst,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,WebTech,Medan,Sumatera Utara,Full-time,Data Analyst,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,ByteBytes,Semarang,Jawa Tengah,Contract,Data Analyst,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,PHP,CodeGenius,Bali,Bali,Part-time,Data Analyst,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,TechSolutions,Surabaya,Jawa Timur,Full-time,Data Analyst,0,0,1,0,0,0,0,0,0
Learning Disability,Critical thinking,Ruby on Rails,InfoLab,Bandung,Jawa Barat,Contract,Data Analyst,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,ByteTech,Jakarta,Jakarta Raya,Part-time,Data Analyst,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,Innovation Hub,Jakarta,Jakarta Raya,Full-time,Data Analyst,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,WebWorks,Medan,Sumatera Utara,Full-time,Data Analyst,0,0,0,0,0,0,0,0,1
Learning Disability,Critical thinking,Ruby on Rails,WebCraft,Bandung,Jawa Barat,Contract,Data Analyst,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,ByteBytes,Semarang,Jawa Tengah,Full-time,Data Analyst,0,0,0,0,0,0,0,1,0
Cognitive Disability,C++,Analytical skills,ByteBytes,Semarang,Jawa Tengah,Contract,Data Scientist,0,0,0,0,0,0,0,1,0
Hearing Impairment,Teamwork,Python,XYZ Solutions,Bandung,Jawa Barat,Contract,Data Scientist,1,0,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,Global Ventures,Medan,Sumatera Utara,Full-time,Data Scientist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,Innovate Systems,Semarang,Jawa Tengah,Contract,Data Scientist,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,PHP,Data Solutions,Bali,Bali,Part-time,Data Scientist,1,0,0,0,0,0,0,0,0
Learning Disability,Critical thinking,Ruby on Rails,CodeCraft,Bandung,Jawa Barat,Contract,Data Scientist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,TechGenius,Jakarta,Jakarta Raya,Part-time,Data Scientist,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Office,Innovation Hub,Jakarta,Jakarta Raya,Full-time,Data Scientist,0,1,0,0,0,0,0,0,0
Physical Disability,Leadership,JavaScript,InfoTech,Surabaya,Jawa Timur,Part-time,Data Scientist,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,Design Co.,Medan,Sumatera Utara,Full-time,Data Scientist,0,0,0,0,0,0,0,0,1
Hearing Impairment,Adaptability,Java,AppSolutions,Bali,Bali,Part-time,Data Scientist,1,0,0,0,0,0,0,0,0
Learning Disability,Critical thinking,PHP,Coding Solutions,Bandung,Jawa Barat,Contract,Data Scientist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,InfoLab,Jakarta,Jakarta Raya,Part-time,Data Scientist,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,TechHub,Jakarta,Jakarta Raya,Full-time,Data Scientist,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,Innovative Solutions,Medan,Sumatera Utara,Full-time,Data Scientist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,DataGenius,Semarang,Jawa Tengah,Contract,Data Scientist,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,PHP,InfoSolutions,Bali,Bali,Part-time,Data Scientist,1,0,0,0,0,0,0,0,0
Learning Disability,Critical thinking,Ruby on Rails,WebWorks,Bandung,Jawa Barat,Contract,Data Scientist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,TechConnect,Jakarta,Jakarta Raya,Part-time,Data Scientist,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Office,Innovative Solutions,Jakarta,Jakarta Raya,Full-time,Data Scientist,0,1,0,0,0,0,0,0,0
Physical Disability,Leadership,JavaScript,ByteTech,Surabaya,Jawa Timur,Part-time,Data Scientist,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,DesignSolutions,Medan,Sumatera Utara,Full-time,Data Scientist,0,0,0,0,0,0,0,0,1
Hearing Impairment,Adaptability,Java,TechSolutions,Bali,Bali,Part-time,Data Scientist,1,0,0,0,0,0,0,0,0
Learning Disability,Critical thinking,PHP,CodingTech,Bandung,Jawa Barat,Contract,Data Scientist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,InfoTech,Jakarta,Jakarta Raya,Part-time,Data Scientist,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,TechCo,Jakarta,Jakarta Raya,Full-time,Data Scientist,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,WebTech,Medan,Sumatera Utara,Full-time,Data Scientist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,ByteBytes,Semarang,Jawa Tengah,Contract,Data Scientist,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,PHP,CodeGenius,Bali,Bali,Part-time,Data Scientist,1,0,0,0,0,0,0,0,0
Learning Disability,Critical thinking,Ruby on Rails,InfoLab,Bandung,Jawa Barat,Contract,Data Scientist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Attention to detail,Python,ByteTech,Jakarta,Jakarta Raya,Part-time,Data Scientist,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,Innovation Hub,Jakarta,Jakarta Raya,Full-time,Data Scientist,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,WebWorks,Medan,Sumatera Utara,Full-time,Data Scientist,0,0,0,0,0,0,0,0,1
Learning Disability,Critical thinking,Ruby on Rails,WebCraft,Bandung,Jawa Barat,Contract,Data Scientist,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,ByteBytes,Semarang,Jawa Tengah,Full-time,Data Scientist,0,0,0,0,0,0,0,1,0
Cognitive Disability,C++,Analytical skills,ByteBytes,Semarang,Jawa Tengah,Contract,Data Engineer,0,0,0,0,0,0,0,1,0
Hearing Impairment,Teamwork,Python,XYZ Solutions,Bandung,Jawa Barat,Contract,Data Engineer,1,0,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,Global Ventures,Medan,Sumatera Utara,Full-time,Data Engineer,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,Innovate Systems,Semarang,Jawa Tengah,Contract,Data Engineer,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,PHP,Data Solutions,Bali,Bali,Part-time,Data Engineer,1,0,0,0,0,0,0,0,0
Learning Disability,Critical thinking,Ruby on Rails,CodeCraft,Bandung,Jawa Barat,Contract,Data Engineer,0,0,0,0,0,0,0,0,1
Visual Impairment,Communication skills,Microsoft Office,Innovation Hub,Jakarta,Jakarta Raya,Full-time,Data Engineer,0,1,0,0,0,0,0,0,0
Physical Disability,Leadership,JavaScript,InfoTech,Surabaya,Jawa Timur,Part-time,Data Engineer,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,Design Co.,Medan,Sumatera Utara,Full-time,Data Engineer,0,0,0,0,0,0,0,0,1
Hearing Impairment,Adaptability,Java,AppSolutions,Bali,Bali,Part-time,Data Engineer,1,0,0,0,0,0,0,0,0
Learning Disability,Critical thinking,PHP,Coding Solutions,Bandung,Jawa Barat,Contract,Data Engineer,0,0,0,0,0,0,0,0,1
Visual Impairment,Communication skills,Microsoft Excel,TechHub,Jakarta,Jakarta Raya,Full-time,Data Engineer,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,Innovative Solutions,Medan,Sumatera Utara,Full-time,Data Engineer,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,DataGenius,Semarang,Jawa Tengah,Contract,Data Engineer,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,PHP,InfoSolutions,Bali,Bali,Part-time,Data Engineer,1,0,0,0,0,0,0,0,0
Learning Disability,Critical thinking,Ruby on Rails,WebWorks,Bandung,Jawa Barat,Contract,Data Engineer,0,0,0,0,0,0,0,0,1
Visual Impairment,Communication skills,Microsoft Office,Innovative Solutions,Jakarta,Jakarta Raya,Full-time,Data Engineer,0,1,0,0,0,0,0,0,0
Physical Disability,Leadership,JavaScript,ByteTech,Surabaya,Jawa Timur,Part-time,Data Engineer,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,DesignSolutions,Medan,Sumatera Utara,Full-time,Data Engineer,0,0,0,0,0,0,0,0,1
Hearing Impairment,Adaptability,Java,TechSolutions,Bali,Bali,Part-time,Data Engineer,1,0,0,0,0,0,0,0,0
Learning Disability,Critical thinking,PHP,CodingTech,Bandung,Jawa Barat,Contract,Data Engineer,0,0,0,0,0,0,0,0,1
Visual Impairment,Communication skills,Microsoft Excel,TechCo,Jakarta,Jakarta Raya,Full-time,Data Engineer,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,WebTech,Medan,Sumatera Utara,Full-time,Data Engineer,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,ByteBytes,Semarang,Jawa Tengah,Contract,Data Engineer,0,0,0,0,0,0,0,1,0
Hearing Impairment,Adaptability,PHP,CodeGenius,Bali,Bali,Part-time,Data Engineer,1,0,0,0,0,0,0,0,0
Learning Disability,Critical thinking,Ruby on Rails,InfoLab,Bandung,Jawa Barat,Contract,Data Engineer,0,0,0,0,0,0,0,0,1
Visual Impairment,Communication skills,Microsoft Excel,Innovation Hub,Jakarta,Jakarta Raya,Full-time,Data Engineer,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,WebWorks,Medan,Sumatera Utara,Full-time,Data Engineer,0,0,0,0,0,0,0,0,1
Learning Disability,Critical thinking,Ruby on Rails,WebCraft,Bandung,Jawa Barat,Contract,Data Engineer,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,ByteBytes,Semarang,Jawa Tengah,Full-time,Data Engineer,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,ABC Corporation,Jakarta,Jakarta Raya,Full-time,Full-stack Developer,0,1,0,0,0,0,0,0,0
Hearing Impairment,Teamwork,Python,XYZ Solutions,Bandung,Jawa Barat,Contract,Full-stack Developer,1,0,0,0,0,0,0,0,0
Physical Disability,Leadership,Java,Acme Technologies,Surabaya,Jawa Timur,Part-time,Full-stack Developer,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,Global Ventures,Medan,Sumatera Utara,Full-time,Full-stack Developer,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,Innovate Systems,Semarang,Jawa Tengah,Contract,Full-stack Developer,0,0,0,0,0,0,0,1,0
Visual Impairment,Problem-solving,JavaScript,ByteBytes,Yogyakarta,Yogyakarta,Full-time,Full-stack Developer,0,1,0,0,0,0,0,0,0
Hearing Impairment,Adaptability,PHP,Data Solutions,Bali,Bali,Part-time,Full-stack Developer,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,CyberTech,Surabaya,Jawa Timur,Full-time,Full-stack Developer,0,0,1,0,0,0,0,0,0
Cognitive Disability,Attention to detail,Python,TechGenius,Jakarta,Jakarta Raya,Part-time,Full-stack Developer,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Office,Innovation Hub,Jakarta,Jakarta Raya,Full-time,Full-stack Developer,0,1,0,0,0,0,0,0,0
Physical Disability,Leadership,JavaScript,InfoTech,Surabaya,Jawa Timur,Part-time,Full-stack Developer,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,Design Co.,Medan,Sumatera Utara,Full-time,Full-stack Developer,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,Python,DataTech,Semarang,Jawa Tengah,Contract,Full-stack Developer,0,0,0,0,0,0,0,1,0
Visual Impairment,Problem-solving,UI/UX design,WebCraft,Yogyakarta,Yogyakarta,Full-time,Full-stack Developer,0,1,0,0,0,0,0,0,0
Hearing Impairment,Adaptability,Java,AppSolutions,Bali,Bali,Part-time,Full-stack Developer,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,TechWizards,Surabaya,Jawa Timur,Full-time,Full-stack Developer,0,0,1,0,0,0,0,0,0
Cognitive Disability,Attention to detail,Python,InfoLab,Jakarta,Jakarta Raya,Part-time,Full-stack Developer,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,TechHub,Jakarta,Jakarta Raya,Full-time,Full-stack Developer,0,1,0,0,0,0,0,0,0
Physical Disability,Leadership,Java,ByteTech,Surabaya,Jawa Timur,Part-time,Full-stack Developer,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,Innovative Solutions,Medan,Sumatera Utara,Full-time,Full-stack Developer,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,DataGenius,Semarang,Jawa Tengah,Contract,Full-stack Developer,0,0,0,0,0,0,0,1,0
Visual Impairment,Problem-solving,JavaScript,TechBytes,Yogyakarta,Yogyakarta,Full-time,Full-stack Developer,0,1,0,0,0,0,0,0,0
Hearing Impairment,Adaptability,PHP,InfoSolutions,Bali,Bali,Part-time,Full-stack Developer,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,TechGenie,Surabaya,Jawa Timur,Full-time,Full-stack Developer,0,0,1,0,0,0,0,0,0
Cognitive Disability,Attention to detail,Python,TechConnect,Jakarta,Jakarta Raya,Part-time,Full-stack Developer,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Office,Innovative Solutions,Jakarta,Jakarta Raya,Full-time,Full-stack Developer,0,1,0,0,0,0,0,0,0
Physical Disability,Leadership,JavaScript,ByteTech,Surabaya,Jawa Timur,Part-time,Full-stack Developer,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,DesignSolutions,Medan,Sumatera Utara,Full-time,Full-stack Developer,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,Python,TechLab,Semarang,Jawa Tengah,Contract,Full-stack Developer,0,0,0,0,0,0,0,1,0
Visual Impairment,Problem-solving,UI/UX design,CodeCraft,Yogyakarta,Yogyakarta,Full-time,Full-stack Developer,0,1,0,0,0,0,0,0,0
Hearing Impairment,Adaptability,Java,TechSolutions,Bali,Bali,Part-time,Full-stack Developer,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,DataBytes,Surabaya,Jawa Timur,Full-time,Full-stack Developer,0,0,1,0,0,0,0,0,0
Cognitive Disability,Attention to detail,Python,InfoTech,Jakarta,Jakarta Raya,Part-time,Full-stack Developer,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,TechCo,Jakarta,Jakarta Raya,Full-time,Full-stack Developer,0,1,0,0,0,0,0,0,0
Physical Disability,Leadership,Java,TechSolutions,Surabaya,Jawa Timur,Part-time,Full-stack Developer,0,0,1,0,0,0,0,0,0
Learning Disability,Time management,HTML,WebTech,Medan,Sumatera Utara,Full-time,Full-stack Developer,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,ByteBytes,Semarang,Jawa Tengah,Contract,Full-stack Developer,0,0,0,0,0,0,0,1,0
Visual Impairment,Problem-solving,JavaScript,Innovate Systems,Yogyakarta,Yogyakarta,Full-time,Full-stack Developer,0,1,0,0,0,0,0,0,0
Hearing Impairment,Adaptability,PHP,CodeGenius,Bali,Bali,Part-time,Full-stack Developer,1,0,0,0,0,0,0,0,0
Physical Disability,Collaboration,SQL,TechSolutions,Surabaya,Jawa Timur,Full-time,Full-stack Developer,0,0,1,0,0,0,0,0,0
Cognitive Disability,Attention to detail,Python,ByteTech,Jakarta,Jakarta Raya,Part-time,Full-stack Developer,0,0,0,0,0,0,0,1,0
Visual Impairment,Communication skills,Microsoft Excel,Innovation Hub,Jakarta,Jakarta Raya,Full-time,Full-stack Developer,0,1,0,0,0,0,0,0,0
Learning Disability,Time management,HTML,WebWorks,Medan,Sumatera Utara,Full-time,Full-stack Developer,0,0,0,0,0,0,0,0,1
Cognitive Disability,Analytical skills,C++,ByteBytes,Semarang,Jawa Tengah,Full-time,Full-stack Developer,0,0,0,0,0,0,0,1,0
Cognitive Disability,C++,Analytical skills,ByteBytes,Semarang,Jawa Tengah,Contract,Web Designer,0,0,0,0,0,0,0,1,0
